case_num,exp,ts,device,kern_min_start,kern_max_start,num_kerns,kern_sum,freq,memfreq,temp,pwr
case14,resnet,3,Tesla V100-SXM2-16GB (2),4.474792,607.335333,44708,113393.90168799998,1522.0,877.0,58.0,268.083
case14,sgemm,25536,Tesla V100-SXM2-16GB (0),6.543989,235.219166,100,230.95777199999998,1425.0,877.0,73.0,295.877
case14,resnet,3,Tesla V100-SXM2-16GB (1),4.583272,608.614551,44656,113354.752234,1522.0,877.0,60.0,271.2
case15,resnet,3,Tesla V100-SXM2-16GB (3),4.487196,613.610278,46220,118016.514072,1492.0,877.0,65.0,273.417
case15,resnet,3,Tesla V100-SXM2-16GB (2),4.551399,608.388085,44733,113513.219155,1522.0,877.0,58.0,270.657
case15,sgemm,25536,Tesla V100-SXM2-16GB (1),4.928913,230.761941,100,228.072049,1447.0,877.0,65.0,295.482
case15,sgemm,25536,Tesla V100-SXM2-16GB (1),6.634166,230.831512,100,226.43750299999996,1455.0,877.0,64.0,295.962
case15,resnet,3,Tesla V100-SXM2-16GB (0),4.491087,610.846282,46035,117373.82779800001,1492.0,877.0,70.0,276.0
case16,sgemm,25536,Tesla V100-SXM2-16GB (2),6.224445,230.225114,100,226.226243,1462.0,877.0,63.0,295.931
case16,sgemm,25536,Tesla V100-SXM2-16GB (2),5.605722,230.308593,100,226.93982100000002,1447.0,877.0,64.0,296.327
case16,resnet,3,Tesla V100-SXM2-16GB (3),4.526218,612.020145,46329,118258.99166800002,1492.0,877.0,68.0,273.417
case16,resnet,3,Tesla V100-SXM2-16GB (1),4.665696,608.392813,44689,113572.646699,1522.0,877.0,61.0,271.561
case16,resnet,3,Tesla V100-SXM2-16GB (0),4.67281,613.729059,45103,115277.792932,1492.0,877.0,71.0,273.12
case17,sgemm,25536,Tesla V100-SXM2-16GB (3),5.100679,234.554191,100,231.73686800000002,1417.0,877.0,70.0,296.046
case17,resnet,3,Tesla V100-SXM2-16GB (2),4.50229,606.10955,43218,109958.402007,1522.0,877.0,58.0,267.304
case17,sgemm,25536,Tesla V100-SXM2-16GB (3),6.616052,235.637793,100,231.297414,1425.0,877.0,69.0,295.765
case17,resnet,3,Tesla V100-SXM2-16GB (1),4.588775,608.432717,44786,113931.77160499999,1522.0,877.0,61.0,269.337
case17,resnet,3,Tesla V100-SXM2-16GB (0),4.542375,612.761073,46591,118755.52485999999,1492.0,877.0,71.0,274.56
case18,sgemm,25536,Tesla V100-SXM2-16GB (0),5.643928,234.787745,100,231.43368500000003,1417.0,877.0,72.0,296.244
case18,sgemm,25536,Tesla V100-SXM2-16GB (0),5.51907,235.438026,100,232.22098,1417.0,877.0,74.0,294.806
case19,sgemm,25536,Tesla V100-SXM2-16GB (0),5.272852,234.901792,100,231.889681,1417.0,877.0,73.0,295.2
case19,sgemm,25536,Tesla V100-SXM2-16GB (0),5.48028,235.556365,100,232.36498400000002,1417.0,877.0,74.0,294.916
case19,resnet,3,Tesla V100-SXM2-16GB (1),4.327858,606.121511,44799,113851.845761,1522.0,877.0,61.0,272.042
case20,sgemm,25536,Tesla V100-SXM2-16GB (0),6.404073,235.078074,100,230.95744,1425.0,877.0,71.0,295.987
case20,sgemm,25536,Tesla V100-SXM2-16GB (0),6.32827,235.14647,100,231.10787799999997,1425.0,877.0,72.0,295.987
case21,sgemm,25536,Tesla V100-SXM2-16GB (0),6.32535,236.06028,100,232.03218999999999,1417.0,877.0,73.0,295.112
case21,sgemm,25536,Tesla V100-SXM2-16GB (0),6.1631,236.139418,100,232.27185899999998,1417.0,877.0,75.0,295.79
case21,sgemm,25536,Tesla V100-SXM2-16GB (1),6.706996,231.936284,100,227.477274,1447.0,877.0,64.0,295.396
case21,sgemm,25536,Tesla V100-SXM2-16GB (1),6.304623,231.44621,100,227.395897,1447.0,877.0,65.0,295.593
case22,sgemm,25536,Tesla V100-SXM2-16GB (2),6.41467,230.356379,100,226.183165,1462.0,877.0,62.0,295.567
case22,sgemm,25536,Tesla V100-SXM2-16GB (2),6.765676,230.627842,100,226.107076,1462.0,877.0,61.0,295.088
case22,sgemm,25536,Tesla V100-SXM2-16GB (0),6.675191,236.718671,100,232.342147,1417.0,877.0,74.0,295.2
case22,sgemm,25536,Tesla V100-SXM2-16GB (0),6.544823,236.717087,100,232.479519,1417.0,877.0,74.0,295.309
case22,sgemm,25536,Tesla V100-SXM2-16GB (1),6.762273,232.065329,100,227.56195,1447.0,877.0,64.0,295.68
case22,sgemm,25536,Tesla V100-SXM2-16GB (1),6.616585,231.765224,100,227.40488399999998,1447.0,877.0,64.0,295.37
case23,sgemm,25536,Tesla V100-SXM2-16GB (2),4.970638,233.46893,100,230.787951,1432.0,877.0,74.0,296.074
case23,sgemm,25536,Tesla V100-SXM2-16GB (2),4.879982,231.926688,100,229.327195,1432.0,877.0,72.0,295.593
case23,sgemm,25536,Tesla V100-SXM2-16GB (2),4.902943,233.753035,100,231.133465,1432.0,877.0,75.0,296.554
case23,sgemm,25536,Tesla V100-SXM2-16GB (2),5.192957,234.187984,100,231.256096,1432.0,877.0,75.0,296.554
case24,sgemm,25536,Tesla V100-SXM2-16GB (2),5.968343,229.963501,100,226.238908,1462.0,877.0,63.0,295.848
case24,sgemm,25536,Tesla V100-SXM2-16GB (2),6.385081,230.244835,100,226.10337,1462.0,877.0,61.0,295.37
case24,sgemm,25536,Tesla V100-SXM2-16GB (0),6.4868,236.724484,100,232.54308199999997,1417.0,877.0,74.0,295.2
case24,sgemm,25536,Tesla V100-SXM2-16GB (0),6.209046,236.44235,100,232.54148000000004,1417.0,877.0,75.0,295.285
case24,sgemm,25536,Tesla V100-SXM2-16GB (1),6.524677,232.083932,100,227.82189200000002,1447.0,877.0,64.0,295.482
case24,sgemm,25536,Tesla V100-SXM2-16GB (1),6.732826,231.922051,100,227.446421,1447.0,877.0,65.0,295.5245
case25,sgemm,25536,Tesla V100-SXM2-16GB (3),6.776526,237.580024,100,233.10675700000002,1417.0,877.0,70.0,295.567
case25,sgemm,25536,Tesla V100-SXM2-16GB (2),6.861457,230.629546,100,226.009783,1462.0,877.0,62.0,295.2135
case25,sgemm,25536,Tesla V100-SXM2-16GB (2),6.583643,231.150581,100,226.814025,1455.0,877.0,62.0,295.651
case25,sgemm,25536,Tesla V100-SXM2-16GB (3),6.635637,235.83348,100,231.494472,1425.0,877.0,69.0,295.651
case25,sgemm,25536,Tesla V100-SXM2-16GB (1),6.798631,232.328085,100,227.78409500000004,1447.0,877.0,64.0,295.482
case25,sgemm,25536,Tesla V100-SXM2-16GB (1),6.529096,231.245809,100,226.970377,1455.0,877.0,64.0,295.765
case26,sgemm,25536,Tesla V100-SXM2-16GB (2),6.060965,230.146198,100,226.332438,1462.0,877.0,63.0,296.004
case26,sgemm,25536,Tesla V100-SXM2-16GB (2),7.0582,231.102486,100,226.274338,1462.0,877.0,61.0,295.172
case26,sgemm,25536,Tesla V100-SXM2-16GB (0),6.901853,236.714857,100,232.107668,1417.0,877.0,73.0,295.482
case26,sgemm,25536,Tesla V100-SXM2-16GB (0),5.81913,235.972261,100,232.45953900000004,1417.0,877.0,74.0,294.72
case27,sgemm,25536,Tesla V100-SXM2-16GB (0),5.615757,236.12766,100,232.81575300000003,1417.0,877.0,74.0,294.632
case27,sgemm,25536,Tesla V100-SXM2-16GB (0),6.793617,236.596878,100,232.107405,1417.0,877.0,74.0,295.765
case27,sgemm,25536,Tesla V100-SXM2-16GB (1),5.93429,231.911435,100,228.231428,1447.0,877.0,64.0,295.396
case27,sgemm,25536,Tesla V100-SXM2-16GB (1),5.77923,230.964533,100,227.441888,1447.0,877.0,64.0,295.482
case28,sgemm,25536,Tesla V100-SXM2-16GB (1),5.541274,231.334077,100,228.056366,1447.0,877.0,67.0,295.68
case28,sgemm,25536,Tesla V100-SXM2-16GB (1),5.579592,232.037715,100,228.706089,1447.0,877.0,68.0,295.593
case29,sgemm,25536,Tesla V100-SXM2-16GB (2),5.814253,230.332733,100,226.769127,1462.0,877.0,64.0,296.887
case29,sgemm,25536,Tesla V100-SXM2-16GB (2),5.47352,231.641941,100,228.422935,1447.0,877.0,66.0,295.37
case31,sgemm,25536,Tesla V100-SXM2-16GB (2),6.913257,231.304284,100,226.63827400000002,1455.0,877.0,65.0,296.723
case31,sgemm,25536,Tesla V100-SXM2-16GB (2),6.415572,231.968062,100,227.792226,1447.0,877.0,65.0,295.535
case31,resnet,3,Tesla V100-SXM2-16GB (3),4.11038,613.066819,47543,121426.771262,1477.0,877.0,70.0,274.193
case32,sgemm,25536,Tesla V100-SXM2-16GB (2),6.22964,234.56808,100,230.618073,1432.0,877.0,73.0,295.68
case32,sgemm,25536,Tesla V100-SXM2-16GB (2),6.27375,233.583551,100,229.56478500000003,1432.0,877.0,71.0,296.16
