case,GPU_NO,Runtime
case31,2,2266.23
case31,2,2265.43
case31,2,2266.72
case31,2,2265.71
case31,2,2266.24
case31,2,2265.75
case31,2,2266.68
case31,2,2265.87
case31,2,2266.31
case31,2,2268.88
case31,2,2266.48
case31,2,2265.34
case31,2,2266.74
case31,2,2265.34
case31,2,2265.74
case31,2,2266.33
case31,2,2268.5
case31,2,2265.94
case31,2,2266.3
case31,2,2267.09
case31,2,2266.85
case31,2,2265.96
case31,2,2269.5
case31,2,2266.45
case31,2,2268.12
case31,2,2265.5
case31,2,2269.89
case31,2,2271.11
case31,2,2266.06
case31,2,2267.6
case31,2,2266.28
case31,2,2268.8
case31,2,2265.95
case31,2,2269.12
case31,2,2266.65
case31,2,2271.63
case31,2,2269.98
case31,2,2271.56
case31,2,2266.96
case31,2,2273.66
case31,2,2266.69
case31,2,2267.06
case31,2,2267.76
case31,2,2271.12
case31,2,2266.33
case31,2,2267.65
case31,2,2268.35
case31,2,2273.16
case31,2,2267.44
case31,2,2272.1
case31,2,2265.99
case31,2,2271.95
case31,2,2268.79
case31,2,2272.36
case31,2,2269.04
case31,2,2272.48
case31,2,2268.94
case31,2,2267.44
case31,2,2268.05
case31,2,2265.63
case31,2,2274.69
case31,2,2269.89
case31,2,2268.67
case31,2,2269.6
case31,2,2269.98
case31,2,2268.86
case31,2,2273.28
case31,2,2267.5
case31,2,2272.37
case31,2,2274.15
case31,2,2269.59
case31,2,2274.24
case31,2,2267.4
case31,2,2269.47
case31,2,2274.04
case31,2,2216.91
case31,2,2222.91
case31,2,2237.33
case31,2,2240.56
case31,2,2240.37
case31,2,2241.29
case31,2,2242.99
case31,2,2249.17
case31,2,2258.69
case31,2,2262.38
case31,2,2262.06
case31,2,2264.23
case31,2,2264.07
case31,2,2264.83
case31,2,2267.07
case31,2,2272.27
case31,2,2281.47
case31,2,2286.53
case31,2,2285.49
case31,2,2286.51
case31,2,2285.87
case31,2,2286.62
case31,2,2286.92
case31,2,2288.33
case31,2,2289.52
case31,2,2290.82
case31,2,2297.06
case31,2,2301.22
case31,2,2302.62
case31,2,2304.92
case31,2,2305.97
case31,2,2308.55
case31,2,2307.08
case31,2,2306.26
case31,2,2305.31
case31,2,2305.24
case31,2,2303.17
